"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"AGARWALFT","Agarwal Float Glass India Limited","7(2)","UMA SHANKAR AGARWAL","Promoters","Equity Shares","4154473","57.35",,"3000","305680","Sell","Equity Shares","4151473","57.31","24-Sep-2024","24-Sep-2024","25-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","25-Sep-2024 11:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171617_1248683_25092024111853_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Latha Mohan","-","Equity Shares","192","0",,"100","458000","Sell","Equity Shares","92","0","24-Sep-2024","24-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Abhishek Mishra","-","Equity Shares","9028","0",,"6000","28200000","Sell","Equity Shares","3028","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Varadarajan E S","-","Equity Shares","9206","0",,"1285","922373","Buy","Equity Shares","10491","0","11-Sep-2024","24-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Thiruvalluvan R","-","Equity Shares","11271","0",,"2478","4131814","Buy","Equity Shares","13749","0","11-Sep-2024","24-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Subramanian B","-","Equity Shares","5051","0",,"2829","4714359","Buy","Equity Shares","7880","0","11-Sep-2024","24-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Sridhar T E","-","Equity Shares","1268","0",,"237","170119","Buy","Equity Shares","1505","0","11-Sep-2024","24-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Ramcharan","Key Managerial Personnel","Equity Shares","739","0",,"7567","8652393","Buy","Equity Shares","8306","0","11-Sep-2024","24-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Prakash D K","-","Equity Shares","4960","0",,"2324","3833968","Buy","Equity Shares","7284","0","11-Sep-2024","24-Sep-2024","25-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Neha Sanjeev","-","Equity Shares","1290","0",,"472","682975","Buy","Equity Shares","1762","0","11-Sep-2024","24-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Narayanan K S","-","Equity Shares","5629","0",,"1725","2529322","Buy","Equity Shares","7354","0","11-Sep-2024","24-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Karthikeyan","-","Equity Shares","4578","0",,"500","895700","Buy","Equity Shares","5078","0","11-Sep-2024","24-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Kamala Radhakrishnan","-","Equity Shares","22117","0",,"4872","7383909","Buy","Equity Shares","26989","0","11-Sep-2024","24-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Anuj Kumar","Key Managerial Personnel","Equity Shares","32488","0",,"10173","6253343","Buy","Equity Shares","42661","0","11-Sep-2024","24-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Anish Jagdish Sawlani","-","Equity Shares","1341","0",,"519","775742","Buy","Equity Shares","1860","0","11-Sep-2024","24-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Tejinder Pal Singh Manchanda","-","Equity Shares","100","0",,"1282","2964433","Buy","Equity Shares","1382","0","11-Sep-2024","24-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","25-Sep-2024 11:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171615_1248677_25092024111652_WEB.xml"
"STEL","Stel Holdings Limited","7(2)","SECURA INDIA TRUST","Promoter Group","Equity Shares","1392924","7.55",,"670","363670","Buy","Equity Shares","1393594","7.55","20-Sep-2024","20-Sep-2024","24-Sep-2024","Market Purchase","-","-","0","0","0","0","BSE","-","25-Sep-2024 11:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171612_1248672_25092024111145_WEB.xml"
"STEL","Stel Holdings Limited","7(2)","SECURA INDIA TRUST","Promoter Group","Equity Shares","1393594","7.55",,"1941","1063409","Buy","Equity Shares","1395535","7.56","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","25-Sep-2024 11:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171612_1248672_25092024111145_WEB.xml"
"STEL","Stel Holdings Limited","7(2)","SECURA INDIA TRUST","Promoter Group","Equity Shares","1395535","7.56",,"1000","546100","Buy","Equity Shares","1396535","7.57","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Purchase","-","-","0","0","0","0","BSE","-","25-Sep-2024 11:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171612_1248672_25092024111145_WEB.xml"
"STEL","Stel Holdings Limited","7(2)","SECURA INDIA TRUST","Promoter Group","Equity Shares","1392405","7.54",,"519","282245","Buy","Equity Shares","1392924","7.55","20-Sep-2024","20-Sep-2024","24-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","25-Sep-2024 11:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171612_1248672_25092024111145_WEB.xml"
"NIBL","NRB Industrial Bearings Limited","7(2)","ANJANA MILIND THAKKER","Promoters","Equity Shares","264856","0.9",,"6989","244627","Sell","Equity Shares","257867","0.88","24-Sep-2024","24-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","25-Sep-2024 10:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171610_1248659_25092024104903_WEB.xml"
"BCLIND","Bcl Industries Limited","7(2)","Radhika Mittal","Promoter Group","Equity Shares","90000","0.03",,"45000","3015000","Sell","Equity Shares","45000","0.02","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","25-Sep-2024 10:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171608_1248656_25092024104620_WEB.xml"
"BCLIND","Bcl Industries Limited","7(2)","Sunita Mittal","Promoters","Equity Shares","51472970","17.44",,"2500001","162500065","Sell","Equity Shares","48972969","16.59","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","25-Sep-2024 10:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171608_1248656_25092024104620_WEB.xml"
"LTIM","LTIMindtree Limited","7(2)","ROHIT KEDIA","Employees/Designated Employees","Equity Shares","67750","0.03",,"10000","63363500","Sell","Equity Shares","57750","0.02","20-Sep-2024","20-Sep-2024","21-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 21:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171606_1248610_24092024095708_WEB.xml"
"LTIM","LTIMindtree Limited","7(2)","SARBAJIT DEB","Employees/Designated Employees","Equity Shares","28639","0.01",,"500","3253000","Sell","Equity Shares","28139","0.01","19-Sep-2024","19-Sep-2024","20-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 21:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171606_1248610_24092024095708_WEB.xml"
"SHREEPUSHK","Shree Pushkar Chemicals & Fertilisers Limited","7(2)","AGRIMA GUATAM MAKHARIA","Promoters","Equity Shares","438295","1.39",,"21120","211200","Buy","Equity Shares","459415","1.45","19-Sep-2024","19-Sep-2024","21-Sep-2024","Gift","-","-","0","0","0","0","-","-","24-Sep-2024 21:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171604_1248590_24092024092215_WEB.xml"
"SHREEPUSHK","Shree Pushkar Chemicals & Fertilisers Limited","7(2)","BALMUKUND LOHIA","Immediate relative","Equity Shares","21120","0.07",,"21120","211200","Sell","Equity Shares","Nil","0","19-Sep-2024","19-Sep-2024","21-Sep-2024","Gift","-","-","0","0","0","0","NA","-","24-Sep-2024 21:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171604_1248590_24092024092215_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Santanu Sinha","Employees/Designated Employees","Equity Shares","5533","0",,"565","1717600","Sell","Equity Shares","4968","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 20:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171602_1248547_24092024081345_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Ravindra Shahane","Employees/Designated Employees","Equity Shares","29162","0",,"1000","3028000","Sell","Equity Shares","28162","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 20:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171602_1248547_24092024081345_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Somesh Mohan Dravid","Employees/Designated Employees","Equity Shares","1805","0",,"600","1805550","Sell","Equity Shares","1205","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 20:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171602_1248547_24092024081345_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Mr. Vetsa Sitaramayya","Employees/Designated Employees","Equity Shares","9503","0",,"1000","2981375","Sell","Equity Shares","8503","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 20:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171602_1248547_24092024081345_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Shankar Rangarajan","Employees/Designated Employees","Equity Shares","9264","0",,"510","1555398","Buy","Equity Shares","9774","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","24-Sep-2024 19:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171600_1248537_24092024075839_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Shankar Rangarajan","Employees/Designated Employees","Equity Shares","9864","0",,"600","1760000","Sell","Equity Shares","9264","0","20-Sep-2024","20-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171600_1248537_24092024075839_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Shankar Rangarajan","Employees/Designated Employees","Equity Shares","9774","0",,"200","606000","Sell","Equity Shares","9574","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","-","-","24-Sep-2024 19:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171600_1248537_24092024075839_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Shankar Venugopal","Employees/Designated Employees","Equity Shares","10","0",,"4000","12199200","Buy","Equity Shares","4010","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","24-Sep-2024 19:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171600_1248537_24092024075839_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","RupeshVedante","-","Equity Shares","4346","0",,"1250","608750","Sell","Equity Shares","3096","0","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171598_1248533_24092024075241_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","RakeshChaturvedi","-","Equity Shares","4000","0",,"4000","1950000","Sell","Equity Shares","Nil","0","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171598_1248533_24092024075241_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Rajesh Viswanathan","Key Managerial Personnel","Equity Shares","72505","0.02",,"22000","10975140","Sell","Equity Shares","50505","0.01","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171598_1248533_24092024075241_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Nirav Shah","-","Equity Shares","22000","0.01",,"5000","2423500","Sell","Equity Shares","17000","0","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171598_1248533_24092024075241_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anmol Gupta","-","Equity Shares","179482","0.04",,"5000","2325000","Sell","Equity Shares","174482","0.04","20-Sep-2024","20-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171598_1248533_24092024075241_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Brijesh Kumar Goswami","-","Equity Shares","6000","0",,"3000","1475000","Sell","Equity Shares","3000","0","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171598_1248533_24092024075241_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","K SENTHUR PANDIAN","Employees/Designated Employees","Equity Shares","10235","0",,"500","1524900","Buy","Equity Shares","10735","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","24-Sep-2024 19:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171594_1248522_24092024074433_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","SUROJIT KUNDU","Employees/Designated Employees","Equity Shares","3967","0",,"1060","3232788","Buy","Equity Shares","5027","0","23-Sep-2024","23-Sep-2024","23-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","24-Sep-2024 19:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171594_1248522_24092024074433_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Subandhu Arya","Employees/Designated Employees","Equity Shares","3956","0",,"968","2952206","Buy","Equity Shares","4924","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","24-Sep-2024 19:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171594_1248522_24092024074433_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Vinay Khanolkar","Employees/Designated Employees","Equity Shares","13368","0",,"700","2134860","Buy","Equity Shares","14068","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","24-Sep-2024 19:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171594_1248522_24092024074433_WEB.xml"
"SHREDIGCEM","Shree Digvijay Cement Co.Ltd","7(2)","Dr. Girish R Mehta","-","Equity Shares","155000","0.1",,"20000","2016239","Sell","Equity Shares","135000","0.1","23-Sep-2024","23-Sep-2024","23-Sep-2024","ESOP","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171592_1248508_24092024073643_WEB.xml"
"SHREDIGCEM","Shree Digvijay Cement Co.Ltd","7(2)","Thiyaku N","-","Equity Shares","20000","0.01",,"19800","1905993","Sell","Equity Shares","200","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","ESOP","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171592_1248508_24092024073643_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees ESOP Trust","Other","Equity Shares","117223","0.01",,"3744","193939","Sell","Equity Shares","113479","0.01","23-Sep-2024","23-Sep-2024","23-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","24-Sep-2024 19:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171591_1248506_24092024073610_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","2599991","0.15",,"19557","195570","Sell","Equity Shares","2580434","0.15","19-Sep-2024","19-Sep-2024","23-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","24-Sep-2024 19:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171591_1248506_24092024073610_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","2580434","0.15",,"1128","884192","Sell","Equity Shares","2579306","0.15","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171591_1248506_24092024073610_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","2600388","0.15",,"236","175923","Sell","Equity Shares","2600152","0.15","18-Sep-2024","18-Sep-2024","20-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171591_1248506_24092024073610_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","2600152","0.15",,"161","118823","Sell","Equity Shares","2599991","0.15","19-Sep-2024","19-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171591_1248506_24092024073610_WEB.xml"
"ICICIGI","ICICI Lombard General Insurance Company Limited","7(3)","SHAILESH DUBEY","-","Equity Shares","34228","0",,"21000","47292000","Sell","Equity Shares","13228","0","20-Sep-2024","20-Sep-2024","22-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 19:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171589_1248502_24092024073527_WEB.xml"
"ICICIGI","ICICI Lombard General Insurance Company Limited","7(3)","SHAILESH DUBEY","-","Equity Shares","34228","0",,"21000","47292000","Pledge Revoke","Equity Shares","34228","0","20-Sep-2024","20-Sep-2024","22-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","24-Sep-2024 19:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171589_1248502_24092024073527_WEB.xml"
"ICICIGI","ICICI Lombard General Insurance Company Limited","7(3)","SHAILESH DUBEY","-","Equity Shares","34228","0",,"30068","66149600","Pledge","Equity Shares","34228","0","19-Sep-2024","19-Sep-2024","22-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","24-Sep-2024 19:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171589_1248502_24092024073527_WEB.xml"
"STARCEMENT","Star Cement Limited","7(2)","Suchita Agarwal","Promoter Group","Equity Shares","924535","0.23",,"10000","2200000","Sell","Equity Shares","914535","0.23","18-Sep-2024","18-Sep-2024","20-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","24-Sep-2024 18:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171584_1248470_24092024065950_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","SURYA PAWAN KUMAR VADAPALLI","-","Equity Shares","43975","0",,"3000","5208790","Sell","Equity Shares","40975","0","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 18:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171582_1248463_24092024065921_WEB.xml"
"LAXMICOT","Laxmi Cotspin Limited","7(2)","JAGDISH KACHRULAL RATHI","Promoters","Equity Shares","394414","2.3",,"6900","266064","Buy","Equity Shares","401314","2.34","24-Sep-2024","24-Sep-2024","24-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","24-Sep-2024 18:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171580_1248446_24092024064914_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Bhawna Agarwal","Promoter Group","Equity Shares","854735","0.41",,"14061","251920","Sell","Equity Shares","840674","0.4","16-Sep-2024","17-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 18:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171578_1248439_24092024064701_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Bhawna Agarwal","Promoter Group","Equity Shares","840674","0.4",,"19760","347272","Sell","Equity Shares","820914","0.39","18-Sep-2024","18-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 18:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171578_1248439_24092024064701_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Bhawna Agarwal","Promoter Group","Equity Shares","860092","0.41",,"5357","97229","Sell","Equity Shares","854735","0.4","13-Sep-2024","13-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171576_1248414_24092024062723_WEB.xml"
"SAPPHIRE","Sapphire Foods India Limited","7(2)","Sagista Realty Advisors Private Limited (as Trustee of QSR Management Trust)","Promoters","Equity Shares","8286719","2.59",,"95914","33318615","Sell","Equity Shares","8190805","2.56","20-Sep-2024","20-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171574_1248396_24092024061640_WEB.xml"
"SAPPHIRE","Sapphire Foods India Limited","7(2)","Vijay Jain","Employees/Designated Employees","Equity Shares","112850","0.04",,"112850","42509467","Sell","Equity Shares","Nil","0","24-Sep-2024","24-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171574_1248396_24092024061640_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","C. Jayaram","-","Equity Shares","675000","0.03",,"200000","376654693","Sell","Equity Shares","475000","0.02","20-Sep-2024","20-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171572_1248385_24092024061432_WEB.xml"
"UJJIVANSFB","Ujjivan Small Finance Bank Limited","7(2)","Pradeep B","-","Equity Shares","132159","0.01",,"97500","4100000","Pledge","Equity Shares","34659","0","24-Sep-2024","24-Sep-2024","24-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","24-Sep-2024 18:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171570_1248359_24092024060147_WEB.xml"
"DODLA","Dodla Dairy Limited","7(2)","Busireddy Venkat Krishna Reddy","Key Managerial Personnel","Equity Shares","1367163","2.27",,"23478","28421308","Sell","Equity Shares","1343685","2.23","23-Sep-2024","24-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 18:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171569_1248357_24092024060039_WEB.xml"
"DODLA","Dodla Dairy Limited","7(2)","Busireddy Venkat Krishna Reddy","Key Managerial Personnel","Equity Shares","1367163","2.27",,"23478","28421308","Pledge Revoke","Equity Shares","1343685","2.23","23-Sep-2024","24-Sep-2024","24-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","24-Sep-2024 17:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171566_1248348_24092024055526_WEB.xml"
"HRHNEXT","HRH Next Services Limited","7(2)","Kiran Kumar","Promoter Group","Equity Shares","Nil","0",,"3000","120000","Buy","Equity Shares","3000","0.02","20-Sep-2024","20-Sep-2024","20-Sep-2024","Preferential Offer","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171565_1248343_24092024055403_WEB.xml"
